14:36:35.462844 TIMED OUT
05:12:44.917818 2022041500 001.nzy.h.root-servers.org
19:02:50.199263 2022041501 001.nzy.h.root-servers.org
05:39:27.601478 2022041600 001.nzy.h.root-servers.org
17:24:33.842245 2022041601 001.nzy.h.root-servers.org
06:39:09.496588 2022041700 001.nzy.h.root-servers.org
17:52:36.868027 2022041701 001.nzy.h.root-servers.org
05:19:01.694662 2022041800 001.nzy.h.root-servers.org
17:36:50.358118 2022041801 001.nzy.h.root-servers.org
05:31:17.507852 2022041900 001.nzy.h.root-servers.org
17:33:26.918257 2022041901 001.nzy.h.root-servers.org
05:10:26.993064 2022042000 001.nzy.h.root-servers.org
17:33:23.111396 2022042001 001.nzy.h.root-servers.org
18:08:22.011155 2022042002 001.nzy.h.root-servers.org
05:46:29.950625 2022042100 001.nzy.h.root-servers.org
16:08:08.133289 2022042101 001.nzy.h.root-servers.org
21:55:23.796195 2022042102 001.nzy.h.root-servers.org
05:09:16.104953 2022042200 001.nzy.h.root-servers.org
18:59:59.948135 2022042201 001.nzy.h.root-servers.org
20:54:50.859346 2022042202 001.nzy.h.root-servers.org
06:01:19.648356 2022042300 001.nzy.h.root-servers.org
17:10:52.178196 2022042301 001.nzy.h.root-servers.org
05:26:14.985027 2022042400 001.nzy.h.root-servers.org
17:20:44.251144 2022042401 001.nzy.h.root-servers.org
05:17:45.690294 2022042500 001.nzy.h.root-servers.org
17:08:44.358409 2022042501 001.nzy.h.root-servers.org
22:08:12.263807 2022042502 001.nzy.h.root-servers.org
05:40:26.668151 2022042600 001.nzy.h.root-servers.org
17:50:01.725358 2022042601 001.nzy.h.root-servers.org
06:12:28.791753 2022042700 001.nzy.h.root-servers.org
17:17:07.447009 2022042701 001.nzy.h.root-servers.org
05:11:55.031833 2022042800 001.nzy.h.root-servers.org
17:10:43.468587 2022042801 001.nzy.h.root-servers.org
05:19:52.952192 2022042900 001.nzy.h.root-servers.org
17:14:40.946122 2022042901 001.nzy.h.root-servers.org
05:21:11.662952 2022043000 001.nzy.h.root-servers.org
18:05:08.779361 2022043001 001.nzy.h.root-servers.org
05:18:23.475812 2022050100 001.nzy.h.root-servers.org
17:28:30.485412 2022050101 001.nzy.h.root-servers.org
05:40:28.352946 2022050200 001.nzy.h.root-servers.org
18:05:16.831569 2022050201 001.nzy.h.root-servers.org
18:34:48.251396 2022050202 001.nzy.h.root-servers.org
20:58:26.519357 2022050203 001.nzy.h.root-servers.org
05:09:22.565869 2022050300 001.nzy.h.root-servers.org
15:11:55.937183 2022050301 001.nzy.h.root-servers.org
17:31:03.016702 2022050302 001.nzy.h.root-servers.org
20:42:39.449065 2022050303 001.nzy.h.root-servers.org
05:32:50.448975 2022050400 001.nzy.h.root-servers.org
18:41:46.873914 2022050401 001.nzy.h.root-servers.org
05:08:32.224462 2022050500 001.nzy.h.root-servers.org
17:22:28.296832 2022050501 001.nzy.h.root-servers.org
20:59:01.366321 2022050502 001.nzy.h.root-servers.org
05:10:57.013207 2022050600 001.nzy.h.root-servers.org
17:11:09.455924 2022050601 001.nzy.h.root-servers.org
20:58:52.536678 2022050602 001.nzy.h.root-servers.org
05:10:24.880843 2022050700 001.nzy.h.root-servers.org
18:03:43.085711 2022050701 001.nzy.h.root-servers.org
05:13:49.480155 2022050800 001.nzy.h.root-servers.org
20:10:51.325420 2022050801 001.nzy.h.root-servers.org
05:33:21.953913 2022050900 001.nzy.h.root-servers.org
18:40:56.920009 2022050901 001.nzy.h.root-servers.org
21:17:10.104187 2022050902 001.nzy.h.root-servers.org
05:16:31.089440 2022051000 001.nzy.h.root-servers.org
17:25:53.356411 2022051001 001.nzy.h.root-servers.org
21:07:47.958265 2022051002 001.nzy.h.root-servers.org
05:11:44.864528 2022051100 001.nzy.h.root-servers.org
17:46:53.606366 2022051101 001.nzy.h.root-servers.org
05:09:09.409198 2022051200 001.nzy.h.root-servers.org
15:54:01.877215 2022051201 001.nzy.h.root-servers.org
22:31:50.871864 2022051202 001.nzy.h.root-servers.org
05:17:22.059470 2022051300 001.nzy.h.root-servers.org
20:02:07.862071 2022051301 001.nzy.h.root-servers.org
20:52:37.395698 2022051302 001.nzy.h.root-servers.org
05:14:23.621535 2022051400 001.nzy.h.root-servers.org
18:06:35.628135 2022051401 001.nzy.h.root-servers.org
05:06:46.415662 2022051500 001.nzy.h.root-servers.org
18:16:18.022314 2022051501 001.nzy.h.root-servers.org
05:56:22.155380 2022051600 001.nzy.h.root-servers.org
18:19:14.960970 2022051601 001.nzy.h.root-servers.org
06:15:32.390716 2022051700 001.nzy.h.root-servers.org
19:01:53.890765 2022051701 001.nzy.h.root-servers.org
21:37:32.257021 2022051702 001.nzy.h.root-servers.org
05:20:20.661598 2022051800 001.nzy.h.root-servers.org
18:20:37.801860 2022051801 001.nzy.h.root-servers.org
05:27:30.059892 2022051900 001.nzy.h.root-servers.org
17:20:55.745174 2022051901 001.nzy.h.root-servers.org
21:08:16.592877 2022051902 001.nzy.h.root-servers.org
05:16:58.054345 2022052000 001.nzy.h.root-servers.org
18:06:45.207161 2022052001 001.nzy.h.root-servers.org
21:16:38.896203 2022052002 001.nzy.h.root-servers.org
05:38:47.065005 2022052100 001.nzy.h.root-servers.org
18:08:53.546484 2022052101 001.nzy.h.root-servers.org
05:22:38.878582 2022052200 001.nzy.h.root-servers.org
18:02:37.307036 2022052201 001.nzy.h.root-servers.org
05:34:12.152198 2022052300 001.nzy.h.root-servers.org
17:43:31.613396 2022052301 001.nzy.h.root-servers.org
05:32:19.203136 2022052400 001.nzy.h.root-servers.org
17:22:36.604460 2022052401 001.nzy.h.root-servers.org
05:22:51.711823 2022052500 001.nzy.h.root-servers.org
18:06:10.719212 2022052501 001.nzy.h.root-servers.org
21:13:07.821368 2022052502 001.nzy.h.root-servers.org
05:15:22.904689 2022052600 001.nzy.h.root-servers.org
17:11:07.158605 2022052601 001.nzy.h.root-servers.org
21:09:55.253982 2022052602 001.nzy.h.root-servers.org
05:11:31.475628 2022052700 001.nzy.h.root-servers.org
20:23:56.054578 2022052701 001.nzy.h.root-servers.org
21:17:46.535982 2022052702 001.nzy.h.root-servers.org
05:10:42.959496 2022052800 001.nzy.h.root-servers.org
21:12:29.930860 2022052801 001.nzy.h.root-servers.org
05:12:13.769825 2022052900 001.nzy.h.root-servers.org
18:15:34.942651 2022052901 001.nzy.h.root-servers.org
05:11:06.249473 2022053000 001.nzy.h.root-servers.org
17:42:43.535901 2022053001 001.nzy.h.root-servers.org
06:12:25.388512 2022053100 001.nzy.h.root-servers.org
17:18:56.265764 2022053101 001.nzy.h.root-servers.org
05:17:54.073823 2022060100 001.nzy.h.root-servers.org
14:25:37.311809 2022060101 001.nzy.h.root-servers.org
17:13:19.349921 2022060102 001.nzy.h.root-servers.org
21:58:07.966142 2022060103 001.nzy.h.root-servers.org
05:11:56.713364 2022060200 001.nzy.h.root-servers.org
17:22:03.047199 2022060201 001.nzy.h.root-servers.org
00:33:39.742295 2022060300 001.nzy.h.root-servers.org
05:13:27.448623 2022060301 001.nzy.h.root-servers.org
17:32:06.073721 2022060302 001.nzy.h.root-servers.org
19:50:36.714163 2022060303 001.nzy.h.root-servers.org
05:20:53.401826 2022060400 001.nzy.h.root-servers.org
17:23:41.489145 2022060401 001.nzy.h.root-servers.org
17:30:11.235071 2022060402 001.nzy.h.root-servers.org
05:14:06.218480 2022060500 001.nzy.h.root-servers.org
17:20:44.656538 2022060501 001.nzy.h.root-servers.org
05:36:26.976412 2022060600 001.nzy.h.root-servers.org
17:13:08.795577 2022060601 001.nzy.h.root-servers.org
21:00:02.804391 2022060602 001.nzy.h.root-servers.org
05:39:38.862258 2022060700 001.nzy.h.root-servers.org
17:17:43.283509 2022060701 001.nzy.h.root-servers.org
05:19:35.423651 2022060800 001.nzy.h.root-servers.org
17:41:33.471208 2022060801 001.nzy.h.root-servers.org
21:31:36.412783 2022060802 001.nzy.h.root-servers.org
05:18:17.215313 2022060900 001.nzy.h.root-servers.org
17:53:26.869742 2022060901 001.nzy.h.root-servers.org
21:59:39.915580 2022060902 001.nzy.h.root-servers.org
05:09:20.838794 2022061000 001.nzy.h.root-servers.org
20:07:55.717533 2022061001 001.nzy.h.root-servers.org
05:11:28.346455 2022061100 001.nzy.h.root-servers.org
20:05:06.048569 2022061101 001.nzy.h.root-servers.org
20:38:08.580795 2022061102 001.nzy.h.root-servers.org
05:16:28.244818 2022061200 001.nzy.h.root-servers.org
19:02:14.615129 2022061201 001.nzy.h.root-servers.org
05:45:24.469894 2022061300 001.nzy.h.root-servers.org
17:11:42.621267 2022061301 001.nzy.h.root-servers.org
20:21:32.566361 2022061302 001.nzy.h.root-servers.org
05:36:17.783923 2022061400 001.nzy.h.root-servers.org
19:53:04.677280 2022061401 001.nzy.h.root-servers.org
05:11:11.935281 2022061500 001.nzy.h.root-servers.org
14:33:05.746211 2022061501 001.nzy.h.root-servers.org
19:13:39.284622 2022061502 001.nzy.h.root-servers.org
20:09:15.603630 2022061503 001.nzy.h.root-servers.org
05:18:37.055942 2022061600 001.nzy.h.root-servers.org
21:37:31.569677 2022061601 003.apg.h.root-servers.org
05:32:25.800326 2022061700 002.apg.h.root-servers.org
19:34:07.864087 2022061701 001.nzy.h.root-servers.org
05:15:11.468443 2022061800 001.nzy.h.root-servers.org
20:06:31.778519 2022061801 001.nzy.h.root-servers.org
05:26:49.377958 2022061900 001.nzy.h.root-servers.org
17:31:24.979619 2022061901 001.nzy.h.root-servers.org
12:25:12.113701 2022062000 001.nzy.h.root-servers.org
17:23:24.523396 2022062001 001.nzy.h.root-servers.org
