23:20:50.191975 TIMED OUT
05:12:50.483816 2022041500 ns1.cz-prg.k.ripe.net
19:02:49.121863 2022041501 ns1.cz-prg.k.ripe.net
05:39:31.611915 2022041600 ns1.cz-prg.k.ripe.net
17:24:44.087498 2022041601 ns1.cz-prg.k.ripe.net
06:39:13.112472 2022041700 ns1.cz-prg.k.ripe.net
17:52:41.361337 2022041701 ns1.cz-prg.k.ripe.net
05:19:08.250455 2022041800 ns1.cz-prg.k.ripe.net
17:36:46.695806 2022041801 ns1.cz-prg.k.ripe.net
05:31:15.760125 2022041900 ns1.cz-prg.k.ripe.net
17:33:15.864964 2022041901 ns1.cz-prg.k.ripe.net
05:10:29.594262 2022042000 ns1.cz-prg.k.ripe.net
17:33:25.050753 2022042001 ns1.cz-prg.k.ripe.net
18:08:27.364489 2022042002 ns1.cz-prg.k.ripe.net
05:46:39.204391 2022042100 ns1.cz-prg.k.ripe.net
16:08:09.912055 2022042101 ns1.cz-prg.k.ripe.net
21:55:25.364348 2022042102 ns1.cz-prg.k.ripe.net
05:09:25.363783 2022042200 ns1.cz-prg.k.ripe.net
19:00:08.317090 2022042201 ns1.cz-prg.k.ripe.net
20:54:57.936677 2022042202 ns1.cz-prg.k.ripe.net
06:01:22.058994 2022042300 ns1.cz-prg.k.ripe.net
17:10:58.200343 2022042301 ns1.cz-prg.k.ripe.net
05:26:19.190022 2022042400 ns1.cz-prg.k.ripe.net
17:20:45.701023 2022042401 ns1.cz-prg.k.ripe.net
05:17:47.567394 2022042500 ns1.cz-prg.k.ripe.net
17:08:51.874501 2022042501 ns1.cz-prg.k.ripe.net
22:08:15.583873 2022042502 ns1.cz-prg.k.ripe.net
05:40:28.632611 2022042600 ns1.cz-prg.k.ripe.net
17:50:04.108257 2022042601 ns1.cz-prg.k.ripe.net
06:12:21.900192 2022042700 ns1.cz-prg.k.ripe.net
17:17:08.613495 2022042701 ns1.cz-prg.k.ripe.net
05:11:56.198140 2022042800 ns1.cz-prg.k.ripe.net
17:10:51.379811 2022042801 ns1.cz-prg.k.ripe.net
05:19:52.415141 2022042900 ns1.cz-prg.k.ripe.net
17:14:40.814108 2022042901 ns1.cz-prg.k.ripe.net
05:21:12.934009 2022043000 ns1.cz-prg.k.ripe.net
18:05:05.814225 2022043001 ns1.cz-prg.k.ripe.net
05:18:16.373995 2022050100 ns1.cz-prg.k.ripe.net
17:28:40.640918 2022050101 ns1.cz-prg.k.ripe.net
05:40:32.292977 2022050200 ns1.cz-prg.k.ripe.net
18:05:15.913147 2022050201 ns1.cz-prg.k.ripe.net
18:34:55.702026 2022050202 ns1.cz-prg.k.ripe.net
20:58:25.762038 2022050203 ns1.cz-prg.k.ripe.net
05:09:18.284331 2022050300 ns1.cz-prg.k.ripe.net
15:11:49.955898 2022050301 ns1.cz-prg.k.ripe.net
17:31:03.644813 2022050302 ns1.cz-prg.k.ripe.net
20:42:42.647194 2022050303 ns1.cz-prg.k.ripe.net
05:32:50.415560 2022050400 ns1.cz-prg.k.ripe.net
18:41:52.740691 2022050401 ns1.cz-prg.k.ripe.net
05:08:39.311969 2022050500 ns1.cz-prg.k.ripe.net
17:22:28.897144 2022050501 ns1.cz-prg.k.ripe.net
20:58:54.522394 2022050502 ns1.cz-prg.k.ripe.net
05:11:01.648156 2022050600 ns1.cz-prg.k.ripe.net
17:11:12.023329 2022050601 ns1.cz-prg.k.ripe.net
20:58:51.885440 2022050602 ns1.cz-prg.k.ripe.net
05:10:33.696219 2022050700 ns1.cz-prg.k.ripe.net
18:03:34.342307 2022050701 ns1.cz-prg.k.ripe.net
05:13:56.459890 2022050800 ns1.cz-prg.k.ripe.net
20:10:57.599178 2022050801 ns1.cz-prg.k.ripe.net
05:33:29.641847 2022050900 ns1.cz-prg.k.ripe.net
18:41:02.008206 2022050901 ns1.cz-prg.k.ripe.net
21:17:22.282346 2022050902 ns1.cz-prg.k.ripe.net
05:16:37.698147 2022051000 ns1.cz-prg.k.ripe.net
17:26:02.663190 2022051001 ns1.cz-prg.k.ripe.net
21:07:55.177048 2022051002 ns1.cz-prg.k.ripe.net
05:11:46.943004 2022051100 ns1.cz-prg.k.ripe.net
17:46:59.399334 2022051101 ns1.cz-prg.k.ripe.net
05:09:16.129093 2022051200 ns1.cz-prg.k.ripe.net
15:54:04.594512 2022051201 ns1.cz-prg.k.ripe.net
22:31:48.819521 2022051202 ns1.cz-prg.k.ripe.net
05:17:27.212623 2022051300 ns1.cz-prg.k.ripe.net
20:02:11.798611 2022051301 ns1.cz-prg.k.ripe.net
20:52:36.469341 2022051302 ns1.cz-prg.k.ripe.net
05:14:36.074994 2022051400 ns1.cz-prg.k.ripe.net
18:06:38.720201 2022051401 ns1.cz-prg.k.ripe.net
05:06:52.787533 2022051500 ns1.cz-prg.k.ripe.net
18:16:22.699275 2022051501 ns1.cz-prg.k.ripe.net
05:56:21.034384 2022051600 ns1.cz-prg.k.ripe.net
18:19:16.500943 2022051601 ns1.cz-prg.k.ripe.net
06:15:36.618181 2022051700 ns1.cz-prg.k.ripe.net
19:02:00.052658 2022051701 ns1.cz-prg.k.ripe.net
21:37:41.604691 2022051702 ns1.cz-prg.k.ripe.net
05:20:24.723349 2022051800 ns1.cz-prg.k.ripe.net
18:20:53.812214 2022051801 ns1.cz-prg.k.ripe.net
05:27:37.032307 2022051900 ns1.cz-prg.k.ripe.net
17:20:58.694790 2022051901 ns1.cz-prg.k.ripe.net
21:08:20.930576 2022051902 ns1.cz-prg.k.ripe.net
05:17:06.520043 2022052000 ns1.cz-prg.k.ripe.net
18:06:41.885491 2022052001 ns1.cz-prg.k.ripe.net
21:16:47.556762 2022052002 ns1.cz-prg.k.ripe.net
05:38:42.979450 2022052100 ns1.cz-prg.k.ripe.net
18:09:06.894958 2022052101 ns1.cz-prg.k.ripe.net
05:22:37.105653 2022052200 ns1.cz-prg.k.ripe.net
18:02:47.201251 2022052201 ns1.cz-prg.k.ripe.net
